,fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
1866,17283,The Three Jolly Wheelers,"735 Chigwell Road, Woodford Green, Chigwell, Essex",IG8 8AS,542653,192011.0,51.608869,0.058699,Redbridge
8958,83420,Aria Bar,"31 Longbridge Road, Barking",IG11 8TN,544481,184425.0,51.54024,0.081962,Barking and Dagenham
8959,83454,Barking Arms Ltd,"25-27 Station Parade, Barking",IG11 8TU,544404,184344.0,51.539531,0.080819,Barking and Dagenham
8960,83461,Barking football Club,"Barking Football Club, Lodge Avenue, Dagenham",RM8 2JR,546614,185058.0,51.545377,0.11296,Barking and Dagenham
8961,83464,Barking Indoor Bowls Club Ltd,"Indoor Bowls Hall, Barking Prk, Longbridge Road, Barking",IG11 8TA,544692,184653.0,51.542225,0.085096,Barking and Dagenham
8962,83470,Barking Rugby Union Football Club,"Gale Street, Dagenham",RM9 4TX,547647,183924.0,51.53492,0.127357,Barking and Dagenham
8963,83477,Barking United Services Club,"79 Blake Avenue, Barking",IG11 9SF,545650,183656.0,51.53303,0.098489,Barking and Dagenham
8964,83481,Beacon Tree,"Beacon Tree, 945 Green Lane, Dagenham",RM8 1DJ,548489,186902.0,51.561457,0.140758,Barking and Dagenham
8965,83563,Chadwell Heath Cricket Club,"St Chads Park, West Road, Chadwell Heath",RM6 6YA,547980,188485.0,51.575822,0.134086,Barking and Dagenham
8966,83601,Coopers Arms,"Coopers Arms, 2 High Road, Chadwell Heath",RM6 6PR,547831,187930.0,51.570866,0.131704,Barking and Dagenham
8967,83623,Dagenham Bowling,"Dagenham Leisure Park, Cook Road, Dagenham",RM9 6UQ,548237,183680.0,51.532573,0.135769,Barking and Dagenham
8968,83624,Dagenham Conservative & Social Club,"8-12 Salisbury Road, Dagenham",RM10 8TT,549853,184562.0,51.540071,0.159424,Barking and Dagenham
8969,83632,Dagenham Trades Hall,"Dagenham Trades Hall, Charlotte Road, Dagenham",RM10 8TD,549728,184662.0,51.541003,0.157666,Barking and Dagenham
8970,83646,Deuce Lounge,"20-22 London Road, Barking",IG11 8AG,544217,184197.0,51.538258,0.078064,Barking and Dagenham
8971,83664,Eastbrook Hotel Ph,"Eastbrook Hotel Ph, Dagenham Road, Dagenham",RM10 7UP,550158,185947.0,51.552425,0.164409,Barking and Dagenham
8972,83870,Kings Lounge,"2 Linton Road, Barking",IG11 8HG,544261,184275.0,51.538948,0.07873,Barking and Dagenham
8973,83909,Lord Denman PH,"Lord Denman Ph, 270-272 Heathway, Dagenham",RM10 8QS,549064,184737.0,51.541852,0.14813,Barking and Dagenham
8974,83954,ME 'N' O'Briens,"26-28 Goresbrook Road, Dagenham",RM9 6UR,549009,183667.0,51.532252,0.146884,Barking and Dagenham
8975,83956,Mecca Bingo Club,"Cook Road, Dagenham",RM9 6UQ,548237,183680.0,51.532573,0.135769,Barking and Dagenham
8976,83987,Nelson Snooker,"Nelson Snooker, 667-671 Green Lane, Dagenham",RM8 1YA,547206,186992.0,51.562601,0.122286,Barking and Dagenham
8977,84120,Royal British Legion Club,"541 Becontree Avenue, Dagenham",RM8 3JP,548209,186645.0,51.559221,0.136613,Barking and Dagenham
8978,84121,Royal British Legion Dagenham Club,"Rectory Road, Dagenham",RM10 9SA,549487,184443.0,51.539099,0.1541,Barking and Dagenham
8979,84145,Scrattons Community Association Ltd,"Scrattons Community Association Ltd, Morrison Road, Barking",IG11 0UA,548021,183437.0,51.530436,0.132554,Barking and Dagenham
8980,84247,Thatched House,"The Thatched House Ph, Ripple Road, Barking",IG11 9PG,546139,183715.0,51.533425,0.105558,Barking and Dagenham
8981,84248,The Admiral Vernon,"141 Broad Street, Dagenham",RM10 9HP,549269,184158.0,51.536587,0.150838,Barking and Dagenham
8982,84249,The Avenues Social Club Limited,"231 Dagenham Road, Rush Green",RM7 0TH,550877,187170.0,51.563231,0.175296,Barking and Dagenham
8983,84250,The Barking Dog,"The Barking Dog Ph, 61 Station Parade, Barking",IG11 8TU,544404,184344.0,51.539531,0.080819,Barking and Dagenham
8984,84251,The Bowl Bar (City Pavilion),"Collier Row Road, Romford",RM5 2BH,548842,190704.0,51.595516,0.147456,Barking and Dagenham
8985,84254,The Cedars Club,"Cedars Club, Mill Lane, Chadwell Heath",RM6 6TT,548119,188160.0,51.572857,0.135954,Barking and Dagenham
8986,84256,The Cherry Tree Ph,"Wood Lane, Dagenham",RM8 3LJ,548088,185910.0,51.552649,0.13456,Barking and Dagenham
8987,84261,The Club,"The Club, 121 Broad Street, Dagenham",RM10 9HP,549269,184158.0,51.536587,0.150838,Barking and Dagenham
8988,84265,The Cross Keys,"Crown Street, Dagenham",RM10 9XA,549848,184484.0,51.539372,0.159319,Barking and Dagenham
8989,84271,The Harrow,"The Harrow Ph, Billet Road, Romford",RM6 5PT,548079,189938.0,51.588852,0.136126,Barking and Dagenham
8990,84273,The Jolly Fisherman PH,"The Jolly Fisherman Ph, 108 North Street, Barking",IG11 8LA,543950,184520.0,51.541229,0.07435,Barking and Dagenham
8991,84274,The Lighterman,"109 Bastable Avenue, Barking",IG11 0NX,545988,183172.0,51.528594,0.103158,Barking and Dagenham
8992,84281,The Royal Oak,"Royal Oak, 203 Longbridge Road, Barking",IG11 8UF,545147,185139.0,51.546476,0.091853,Barking and Dagenham
8993,84282,The Ship & Shovel,"Ripple Road, Barking",IG11 0SN,546897,183604.0,51.53224,0.116432,Barking and Dagenham
8994,84283,The Spotted Dog,"13-15 Longbridge Road, Barking",IG11 8TN,544481,184425.0,51.54024,0.081962,Barking and Dagenham
8995,84286,The Three Travellers,"The Three Travellers Ph, Wood Lane, Dagenham",RM10 7DS,549117,186860.0,51.560905,0.149792,Barking and Dagenham
8996,84288,The Victoria,"The Victoria Ph, Axe Street, Barking",IG11 7LZ,544313,183903.0,51.535592,0.079328,Barking and Dagenham
8997,84290,The White Horse,"118 High Road, Chadwell Heath",RM6 6NU,548189,188035.0,51.571715,0.13691,Barking and Dagenham
8998,84296,Tollgate Tavern Public House,"High Road, Chadwell Heath",RM6 6QT,548491,188131.0,51.572499,0.141305,Barking and Dagenham
8999,84373,Ace Of Club's,"Wingate And Finchley Football Club,  Summers Lane, London",N12 0PD,526634,191269.0,51.606027,-0.172783,Barnet
9000,84388,Age Concern Barnet,"Meritage Club,  Church End, London",NW4 4JT,522912,189526.0,51.591187,-0.227097,Barnet
9001,84390,Ahir Lorenzo's Bar Restaurant,"298 Nether Street, London",N3 1RJ,525064,190865.0,51.602747,-0.195571,Barnet
9002,84398,Albanian Association,"Albanian Association,  Summers Lane, London",N12 0PD,526634,191269.0,51.606027,-0.172783,Barnet
9003,84446,Arkley Golf Club,"Arkley Golf Club, 49 Rowley Green Road, Barnet",EN5 3HL,521961,195799.0,51.647769,-0.238636,Barnet
9004,84481,Bald Faced Stag,"Bald Faced Stag, 69 High Road, London",N2 8AB,527237,189406.0,51.589149,-0.164741,Barnet
9005,84493,Barnet Copthall Leisure Centre,"Barnet Copthall Leisure Centre,  Champions Way, London",NW4 1PX,522894,191081.0,51.605174,-0.226812,Barnet
9006,84500,Barnet Pool Club,"101 High Street, Barnet",EN5 5UZ,524460,196752.0,51.655777,-0.202198,Barnet
9007,84560,Blarneys Free House,"128 Burnt Oak Broadway, Edgware",HA8 0BB,520074,190574.0,51.601217,-0.267686,Barnet
9008,84572,Bodens,"99 East Barnet Road, Barnet",EN4 8RF,526819,195976.0,51.648277,-0.168396,Barnet
9009,84595,Brondesbury Cricket Tennis Bowls & Squash Club,"Brondesbury Cricket Tennis And Squash Club, 5 Harman Drive, London",NW2 2EB,524400,185936.0,51.558588,-0.206898,Barnet
9010,84606,Builders Arms,"Builders Arms, 3 Albert Road, Barnet",EN4 9SH,526472,196257.0,51.650889,-0.173307,Barnet
9011,84666,Camden Playing Fields Sports And Social Club,"Old Camdenians Football Club,  Burtonhole Lane, London",NW7 1AS,523547,192816.0,51.620624,-0.216777,Barnet
